,,0
Hard coal[MWh],Residual load[MWh],0.7481113922255416
Lignite[MWh],Residual load[MWh],0.7317404184479064
Fossil gas[MWh],Residual load[MWh],0.7289338418750788
Hard coal[MWh],Lignite[MWh],0.7153806695160059
Wind offshore[MWh],Wind onshore[MWh],0.6514691322517466
Fossil gas[MWh],Hard coal[MWh],0.5340045103797524
Hard coal[MWh],Total (grid load)[MWh],0.5320678035256247
Fossil gas[MWh],Total (grid load)[MWh],0.5131946000510592
Residual load[MWh],Total (grid load)[MWh],0.5025463257936222
Hydro pumped storage[MWh]_y,Residual load[MWh],0.4963232069277314
Hydro pumped storage[MWh]_x,Hydro pumped storage[MWh]_y,-0.5737317650989622
Residual load[MWh],Wind onshore[MWh],-0.562522735218376
Hydro pumped storage[MWh]_x,Residual load[MWh],-0.5613522398213455
Hydro pumped storage[MWh]_x,Total (grid load)[MWh],-0.488181481513074
Lignite[MWh],Wind onshore[MWh],-0.42282681937625544
Residual load[MWh],Wind offshore[MWh],-0.38569433710721557
Hydropower[MWh],Other renewable[MWh],-0.3813950900127675
Fossil gas[MWh],Hydro pumped storage[MWh]_x,-0.34609894381601286
Fossil gas[MWh],Wind onshore[MWh],-0.3212742853099449
Hydropower[MWh],Wind offshore[MWh],-0.31207228194460485
